dd,mon,year,allmn
10/26/16,10,2016,70
10/27/16,10,2016,70
10/28/16,10,2016,70
10/29/16,10,2016,70
10/30/16,10,2016,70
10/31/16,10,2016,70
11/1/16,11,2016,71
11/2/16,11,2016,71
11/3/16,11,2016,71
11/4/16,11,2016,71
11/5/16,11,2016,71
11/6/16,11,2016,71
11/7/16,11,2016,71
11/8/16,11,2016,71
11/9/16,11,2016,71
11/10/16,11,2016,71
11/11/16,11,2016,71
11/12/16,11,2016,71
11/13/16,11,2016,71
11/14/16,11,2016,71
11/15/16,11,2016,71
11/16/16,11,2016,71
11/17/16,11,2016,71
11/18/16,11,2016,71
11/19/16,11,2016,71
11/20/16,11,2016,71
11/21/16,11,2016,71
11/22/16,11,2016,71
11/23/16,11,2016,71
11/24/16,11,2016,71
11/25/16,11,2016,71
11/26/16,11,2016,71
11/27/16,11,2016,71
11/28/16,11,2016,71
11/29/16,11,2016,71
11/30/16,11,2016,71
12/1/16,12,2016,72
12/2/16,12,2016,72
12/3/16,12,2016,72
12/4/16,12,2016,72
12/5/16,12,2016,72
12/6/16,12,2016,72
